trajectory_index,seed,method,rank,dimension,lag,k,validation_vamp2,test_log_loss_bits_per_symbol,test_perplexity,minimum_block_surrogate_margin_bits,block_metrics_json
0,101,vamp,3,3,1,8,2.9818273032732305,0.4335847771372291,1.3505853158809147,5.199999999999704,"{""16"": {""margin_bits"": 5.199999999999704, ""surrogate_gain_bits"": [788.9932352142706, 790.9932352142708, 788.9932352142708, 793.9932352142706, 790.9932352142706, 790.9932352142706, 786.9932352142706, 790.9932352142706, 794.9932352142706, 794.9932352142706, 790.9932352142706, 790.9932352142706, 793.9932352142706, 794.9932352142706, 793.9932352142708, 794.9932352142706, 786.9932352142706, 793.9932352142706, 790.9932352142706, 790.9932352142706], ""surrogate_gain_bits_mean"": 791.7932352142709}, ""4"": {""margin_bits"": 9.599999999999795, ""surrogate_gain_bits"": [790.9932352142706, 781.9932352142706, 790.9932352142706, 790.9932352142706, 778.9932352142706, 790.9932352142706, 784.9932352142706, 787.9932352142706, 790.9932352142706, 784.9932352142706, 790.9932352142706, 781.9932352142708, 790.9932352142706, 790.9932352142706, 787.9932352142708, 784.9932352142706, 787.9932352142706, 781.9932352142706, 787.9932352142706, 787.9932352142706], ""surrogate_gain_bits_mean"": 787.3932352142708}}"
0,101,vamp,3,3,1,16,2.9818273032732305,0.7314296502487846,1.6602835480298257,4.300000000000182,"{""16"": {""margin_bits"": 4.300000000000182, ""surrogate_gain_bits"": [1128.2464057351895, 1128.246405735189, 1124.246405735189, 1128.2464057351895, 1128.2464057351895, 1132.246405735189, 1128.246405735189, 1128.2464057351895, 1128.246405735189, 1125.2464057351895, 1128.246405735189, 1128.246405735189, 1128.2464057351895, 1128.2464057351895, 1128.2464057351895, 1128.2464057351895, 1125.2464057351895, 1128.246405735189, 1128.2464057351895, 1128.2464057351895], ""surrogate_gain_bits_mean"": 1127.9464057351893}, ""4"": {""margin_bits"": 6.399999999999864, ""surrogate_gain_bits"": [1128.2464057351895, 1125.2464057351895, 1128.2464057351895, 1128.246405735189, 1125.2464057351895, 1128.2464057351895, 1125.2464057351895, 1125.2464057351895, 1128.2464057351895, 1125.2464057351895, 1128.2464057351895, 1125.2464057351895, 1125.2464057351895, 1128.246405735189, 1125.2464057351895, 1122.2464057351895, 1125.2464057351895, 1122.2464057351895, 1122.2464057351895, 1125.2464057351895], ""surrogate_gain_bits_mean"": 1125.8464057351896}}"
0,101,tica,3,3,1,8,2.9818273032732305,0.4422921999093937,1.3587614568891246,3.549999999999727,"{""16"": {""margin_bits"": 3.549999999999727, ""surrogate_gain_bits"": [783.0528787193772, 785.0528787193772, 785.0528787193772, 788.0528787193772, 789.0528787193774, 785.0528787193772, 789.0528787193772, 785.0528787193772, 789.0528787193772, 793.0528787193772, 785.0528787193772, 788.0528787193774, 788.0528787193772, 789.0528787193772, 789.0528787193772, 793.0528787193772, 783.0528787193772, 788.0528787193772, 787.0528787193772, 788.0528787193772], ""surrogate_gain_bits_mean"": 787.5028787193775}, ""4"": {""margin_bits"": 7.199999999999704, ""surrogate_gain_bits"": [785.0528787193772, 785.0528787193772, 785.0528787193774, 785.0528787193774, 779.0528787193772, 785.0528787193772, 779.052878719377, 785.052878719377, 785.0528787193774, 779.0528787193772, 785.0528787193772, 782.0528787193772, 785.0528787193772, 785.0528787193772, 782.0528787193774, 785.0528787193774, 785.0528787193772, 782.0528787193772, 785.0528787193772, 788.0528787193772], ""surrogate_gain_bits_mean"": 783.8528787193775}}"
0,101,tica,3,3,1,16,2.9818273032732305,0.7314296502487846,1.6602835480298257,4.300000000000182,"{""16"": {""margin_bits"": 4.300000000000182, ""surrogate_gain_bits"": [1128.2464057351895, 1128.246405735189, 1124.246405735189, 1128.2464057351895, 1128.2464057351895, 1132.246405735189, 1128.246405735189, 1128.2464057351895, 1128.246405735189, 1125.2464057351895, 1128.246405735189, 1128.246405735189, 1128.2464057351895, 1128.2464057351895, 1128.2464057351895, 1128.2464057351895, 1125.2464057351895, 1128.246405735189, 1128.2464057351895, 1128.2464057351895], ""surrogate_gain_bits_mean"": 1127.9464057351893}, ""4"": {""margin_bits"": 6.399999999999864, ""surrogate_gain_bits"": [1128.2464057351895, 1125.2464057351895, 1128.2464057351895, 1128.246405735189, 1125.2464057351895, 1128.2464057351895, 1125.2464057351895, 1125.2464057351895, 1128.2464057351895, 1125.2464057351895, 1128.2464057351895, 1125.2464057351895, 1125.2464057351895, 1128.246405735189, 1125.2464057351895, 1122.2464057351895, 1125.2464057351895, 1122.2464057351895, 1122.2464057351895, 1125.2464057351895], ""surrogate_gain_bits_mean"": 1125.8464057351896}}"
0,101,pca_lift_kmeans,3,3,,8,,0.41955897016028754,1.337518614728557,3.64999999999975,"{""16"": {""margin_bits"": 3.64999999999975, ""surrogate_gain_bits"": [806.7424995195846, 800.7424995195846, 800.7424995195846, 803.7424995195848, 803.7424995195848, 803.7424995195848, 803.7424995195848, 800.7424995195848, 800.7424995195848, 804.7424995195846, 806.7424995195848, 806.7424995195848, 800.7424995195848, 803.7424995195848, 803.7424995195848, 804.7424995195848, 800.7424995195848, 800.7424995195846, 803.7424995195846, 800.7424995195848], ""surrogate_gain_bits_mean"": 803.0924995195849}, ""4"": {""margin_bits"": 8.099999999999795, ""surrogate_gain_bits"": [800.7424995195846, 803.7424995195846, 800.7424995195846, 800.7424995195848, 800.7424995195848, 800.7424995195846, 794.7424995195846, 794.7424995195846, 800.7424995195848, 794.7424995195846, 800.7424995195848, 800.7424995195846, 794.7424995195848, 800.7424995195848, 794.7424995195846, 803.7424995195846, 791.7424995195848, 803.7424995195848, 794.7424995195848, 794.7424995195848], ""surrogate_gain_bits_mean"": 798.6424995195848}}"
0,101,pca_lift_kmeans,3,3,,16,,0.710454391382181,1.636319411297046,2.6000000000001364,"{""16"": {""margin_bits"": 2.6000000000001364, ""surrogate_gain_bits"": [1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228863, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1141.0400665228858, 1137.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1137.0400665228863, 1141.0400665228858, 1137.0400665228858, 1139.0400665228863, 1137.0400665228858], ""surrogate_gain_bits_mean"": 1138.4400665228857}, ""4"": {""margin_bits"": 3.550000000000182, ""surrogate_gain_bits"": [1137.0400665228858, 1137.0400665228863, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228863, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1140.0400665228858], ""surrogate_gain_bits_mean"": 1137.4900665228856}}"
0,101,pca_lift_kmeans,10,10,,8,,0.41955897016028754,1.337518614728557,3.64999999999975,"{""16"": {""margin_bits"": 3.64999999999975, ""surrogate_gain_bits"": [806.7424995195846, 800.7424995195846, 800.7424995195846, 803.7424995195848, 803.7424995195848, 803.7424995195848, 803.7424995195848, 800.7424995195848, 800.7424995195848, 804.7424995195846, 806.7424995195848, 806.7424995195848, 800.7424995195848, 803.7424995195848, 803.7424995195848, 804.7424995195848, 800.7424995195848, 800.7424995195846, 803.7424995195846, 800.7424995195848], ""surrogate_gain_bits_mean"": 803.0924995195849}, ""4"": {""margin_bits"": 8.099999999999795, ""surrogate_gain_bits"": [800.7424995195846, 803.7424995195846, 800.7424995195846, 800.7424995195848, 800.7424995195848, 800.7424995195846, 794.7424995195846, 794.7424995195846, 800.7424995195848, 794.7424995195846, 800.7424995195848, 800.7424995195846, 794.7424995195848, 800.7424995195848, 794.7424995195846, 803.7424995195846, 791.7424995195848, 803.7424995195848, 794.7424995195848, 794.7424995195848], ""surrogate_gain_bits_mean"": 798.6424995195848}}"
0,101,pca_lift_kmeans,10,10,,16,,0.710454391382181,1.636319411297046,2.6000000000001364,"{""16"": {""margin_bits"": 2.6000000000001364, ""surrogate_gain_bits"": [1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228863, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1141.0400665228858, 1137.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1137.0400665228863, 1141.0400665228858, 1137.0400665228858, 1139.0400665228863, 1137.0400665228858], ""surrogate_gain_bits_mean"": 1138.4400665228857}, ""4"": {""margin_bits"": 3.550000000000182, ""surrogate_gain_bits"": [1137.0400665228858, 1137.0400665228863, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228863, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1140.0400665228858], ""surrogate_gain_bits_mean"": 1137.4900665228856}}"
0,101,direct_xyz_kmeans,,3,,8,,0.41955897016028754,1.337518614728557,3.64999999999975,"{""16"": {""margin_bits"": 3.64999999999975, ""surrogate_gain_bits"": [806.7424995195846, 800.7424995195846, 800.7424995195846, 803.7424995195848, 803.7424995195848, 803.7424995195848, 803.7424995195848, 800.7424995195848, 800.7424995195848, 804.7424995195846, 806.7424995195848, 806.7424995195848, 800.7424995195848, 803.7424995195848, 803.7424995195848, 804.7424995195848, 800.7424995195848, 800.7424995195846, 803.7424995195846, 800.7424995195848], ""surrogate_gain_bits_mean"": 803.0924995195849}, ""4"": {""margin_bits"": 8.099999999999795, ""surrogate_gain_bits"": [800.7424995195846, 803.7424995195846, 800.7424995195846, 800.7424995195848, 800.7424995195848, 800.7424995195846, 794.7424995195846, 794.7424995195846, 800.7424995195848, 794.7424995195846, 800.7424995195848, 800.7424995195846, 794.7424995195848, 800.7424995195848, 794.7424995195846, 803.7424995195846, 791.7424995195848, 803.7424995195848, 794.7424995195848, 794.7424995195848], ""surrogate_gain_bits_mean"": 798.6424995195848}}"
0,101,direct_xyz_kmeans,,3,,16,,0.710454391382181,1.636319411297046,2.6000000000001364,"{""16"": {""margin_bits"": 2.6000000000001364, ""surrogate_gain_bits"": [1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228863, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1141.0400665228858, 1137.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1137.0400665228863, 1141.0400665228858, 1137.0400665228858, 1139.0400665228863, 1137.0400665228858], ""surrogate_gain_bits_mean"": 1138.4400665228857}, ""4"": {""margin_bits"": 3.550000000000182, ""surrogate_gain_bits"": [1137.0400665228858, 1137.0400665228863, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228863, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1137.0400665228858, 1140.0400665228858, 1137.0400665228858, 1140.0400665228858, 1140.0400665228858], ""surrogate_gain_bits_mean"": 1137.4900665228856}}"
