trajectory_index,seed,method,rank,dimension,lag,k,validation_vamp2,test_log_loss_bits_per_symbol,test_perplexity,minimum_block_surrogate_margin_bits,block_metrics_json
0,101,vamp,10,3,1,8,2.982825963485225,0.6995587342839114,1.6240079942660333,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [15.346834257710047, 15.346834257710047], ""surrogate_gain_bits_mean"": 15.346834257710047}, ""4"": {""margin_bits"": 2.049999999999999, ""surrogate_gain_bits"": [14.346834257710047, 12.246834257710049], ""surrogate_gain_bits_mean"": 13.296834257710048}}"
0,101,vamp,10,3,1,16,2.982825963485225,1.4015869354586945,2.6419202828756894,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [27.04854498317253, 27.04854498317253], ""surrogate_gain_bits_mean"": 27.04854498317253}, ""4"": {""margin_bits"": 1.0, ""surrogate_gain_bits"": [27.04854498317253, 25.04854498317253], ""surrogate_gain_bits_mean"": 26.04854498317253}}"
0,101,tica,10,3,1,8,2.98282596335267,0.6995587342839114,1.6240079942660333,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [15.346834257710047, 15.346834257710047], ""surrogate_gain_bits_mean"": 15.346834257710047}, ""4"": {""margin_bits"": 2.049999999999999, ""surrogate_gain_bits"": [14.346834257710047, 12.246834257710049], ""surrogate_gain_bits_mean"": 13.296834257710048}}"
0,101,tica,10,3,1,16,2.98282596335267,1.4015869354586945,2.6419202828756894,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [27.04854498317253, 27.04854498317253], ""surrogate_gain_bits_mean"": 27.04854498317253}, ""4"": {""margin_bits"": 1.0, ""surrogate_gain_bits"": [27.04854498317253, 25.04854498317253], ""surrogate_gain_bits_mean"": 26.04854498317253}}"
0,101,pca_lift_kmeans,3,3,,8,,0.7208522094392437,1.6481553232207375,-3.552713678800501e-15,"{""16"": {""margin_bits"": -3.552713678800501e-15, ""surrogate_gain_bits"": [14.201587229983392, 14.201587229983385], ""surrogate_gain_bits_mean"": 14.201587229983389}, ""4"": {""margin_bits"": 2.4999999999999893, ""surrogate_gain_bits"": [12.201587229983396, 11.201587229983396], ""surrogate_gain_bits_mean"": 11.701587229983396}}"
0,101,pca_lift_kmeans,3,3,,16,,1.3885265815139576,2.618111575309902,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [30.91737471483911, 30.91737471483911], ""surrogate_gain_bits_mean"": 30.91737471483911}, ""4"": {""margin_bits"": 1.9999999999999964, ""surrogate_gain_bits"": [28.91737471483911, 28.917374714839116], ""surrogate_gain_bits_mean"": 28.917374714839113}}"
0,101,pca_lift_kmeans,10,10,,8,,0.7208522094392437,1.6481553232207375,-3.552713678800501e-15,"{""16"": {""margin_bits"": -3.552713678800501e-15, ""surrogate_gain_bits"": [14.201587229983392, 14.201587229983385], ""surrogate_gain_bits_mean"": 14.201587229983389}, ""4"": {""margin_bits"": 2.4999999999999893, ""surrogate_gain_bits"": [12.201587229983396, 11.201587229983396], ""surrogate_gain_bits_mean"": 11.701587229983396}}"
0,101,pca_lift_kmeans,10,10,,16,,1.3885265815139576,2.618111575309902,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [30.91737471483911, 30.91737471483911], ""surrogate_gain_bits_mean"": 30.91737471483911}, ""4"": {""margin_bits"": 1.9999999999999964, ""surrogate_gain_bits"": [28.91737471483911, 28.917374714839116], ""surrogate_gain_bits_mean"": 28.917374714839113}}"
0,101,direct_xyz_kmeans,,3,,8,,0.7208522094392437,1.6481553232207375,-3.552713678800501e-15,"{""16"": {""margin_bits"": -3.552713678800501e-15, ""surrogate_gain_bits"": [14.201587229983392, 14.201587229983385], ""surrogate_gain_bits_mean"": 14.201587229983389}, ""4"": {""margin_bits"": 2.4999999999999893, ""surrogate_gain_bits"": [12.201587229983396, 11.201587229983396], ""surrogate_gain_bits_mean"": 11.701587229983396}}"
0,101,direct_xyz_kmeans,,3,,16,,1.3885265815139576,2.618111575309902,0.0,"{""16"": {""margin_bits"": 0.0, ""surrogate_gain_bits"": [30.91737471483911, 30.91737471483911], ""surrogate_gain_bits_mean"": 30.91737471483911}, ""4"": {""margin_bits"": 1.9999999999999964, ""surrogate_gain_bits"": [28.91737471483911, 28.917374714839116], ""surrogate_gain_bits_mean"": 28.917374714839113}}"
