mode,step,c1_estimate,c2_estimate,contrast_estimate,contrast_standard_error
none,0,0.0,0.0,0.0,44.7213626686565
none,1,1.270092727421371,0.0,1.270092727421371,36.8337929763614
none,2,1.4878360693322872,0.029901333276471546,1.4579347360558157,31.80921022835556
none,3,1.4924020470953296,-0.25118458787609016,1.7435866349714197,26.43341721323681
none,4,1.586812266811518,-0.49719711023931656,2.0840093770508346,21.44089124387766
none,5,1.6388801375570334,-0.5770401172053958,2.2159202547624295,18.198198104936143
none,6,1.664253478710112,-0.6358104173562797,2.3000638960663915,15.998767465639755
none,7,1.6821038823775127,-0.6705237594699042,2.352627641847417,14.249483539618973
none,8,1.7107572733090073,-0.706135950672444,2.416893223981451,12.791105689796712
none,9,1.7244046984852799,-0.7221912217115154,2.4465959201967955,11.625060816456108
none,10,1.7504671633094422,-0.7533598323001114,2.5038269956095536,10.716814903398618
none,11,1.7639068835547738,-0.7692890013477298,2.5331958849025034,9.884789715907903
none,12,1.7837645294813114,-0.7904212762865483,2.5741858057678595,9.220810058230327
none,13,1.7869524237197765,-0.7950146496474685,2.581967073367245,8.605651194293376
none,14,1.7862690958478207,-0.7942439712541014,2.580513067101922,8.083676846257505
none,15,1.786649952132331,-0.79471076325333,2.581360715385661,7.664201150095251
none,16,1.7862448060446285,-0.7943196140194599,2.5805644200640883,7.297588368255952
none,17,1.7888688635952352,-0.7979908243546239,2.5868596879498593,6.99248725665837
none,18,1.7905843690457621,-0.7999471073193771,2.5905314763651393,6.671630090340964
none,19,1.791851428659736,-0.8014119076294861,2.593263336289222,6.39969828718026
none,20,1.7908268357516202,-0.7994487439747102,2.59027557972633,6.163271257996868
none,21,1.7904623187495012,-0.798944741029219,2.58940705977872,5.949392627864572
none,22,1.7863702119156202,-0.7942850146788492,2.5806552265944696,5.772065177179994
none,23,1.791157954772876,-0.7993796424590001,2.590537597231876,5.6223050094184535
none,24,1.7868413324441437,-0.7949340773086453,2.581775409752789,5.452546851777285
none,25,1.7870821972912012,-0.7959069402669351,2.5829891375581364,5.319064239389555
none,26,1.7848535717152905,-0.7941321071007756,2.578985678816066,5.188187414255445
none,27,1.7817848278178015,-0.7906393428227017,2.5724241706405033,5.0562336518338205
none,28,1.7847419900283181,-0.7936347378900567,2.578376727918375,4.945813392926929
none,29,1.7845749261815278,-0.7935485131874483,2.578123439368976,4.8229662062528345
none,30,1.7868455513299148,-0.795741274271393,2.582586825601308,4.706418074551362
none,31,1.7909798637011798,-0.7994845129840589,2.5904643766852384,4.5945439742695084
none,32,1.7902474535806066,-0.7988793553589315,2.589126808939538,4.476399452827987
none,33,1.7927959159711475,-0.801518165784061,2.5943140817552086,4.3767550260659345
none,34,1.795233793708778,-0.8039354140277744,2.5991692077365522,4.282888232752781
none,35,1.7952645770449291,-0.804247703199098,2.599512280244027,4.189331647003964
none,36,1.7958315680077808,-0.8043675177127041,2.600199085720485,4.103971408455499
none,37,1.7969963804234317,-0.8054988967490997,2.6024952771725314,4.023129217710331
none,38,1.7978536416049844,-0.8067353567219842,2.6045889983269683,3.944152234270553
none,39,1.8000440543647136,-0.8086985156071693,2.608742569971883,3.8705216910246993
none,40,1.7994133063708224,-0.807609526880652,2.6070228332514747,3.7979708956593954
none,41,1.7980486835276166,-0.805958524315174,2.6040072078427907,3.738948403756669
none,42,1.7959595762792038,-0.8039611948605274,2.599920771139731,3.687476995635834
none,43,1.7937369425667369,-0.801707772765385,2.595444715332122,3.642320918156106
none,44,1.7924384926859134,-0.8003557787759212,2.592794271461835,3.601310812728299
none,45,1.7919695804502496,-0.7999412167546738,2.5919107972049233,3.5640143407117213
none,46,1.7920821194027206,-0.8001359252532941,2.592218044656015,3.524589085519379
none,47,1.7931630084024825,-0.8013222783131503,2.5944852867156327,3.4848293635881817
none,48,1.7939603884403854,-0.802105201208829,2.596065589649214,3.4393625968743975
none,49,1.7910436400040346,-0.7990304252876359,2.5900740652916703,3.3901116219853447
none,50,1.789729599007412,-0.7978562971223304,2.5875858961297427,3.3503568638353776
none,51,1.7883853437201414,-0.7965549361302967,2.584940279850438,3.309247703814588
none,52,1.7892090980596551,-0.7974445718390815,2.5866536698987366,3.2696868940661994
none,53,1.790035132419909,-0.7983795784505135,2.5884147108704227,3.2244748895293496
none,54,1.7883183383858712,-0.7966482371705033,2.5849665755563747,3.1750432678945706
none,55,1.7909544504469443,-0.799336671494663,2.5902911219416076,3.1337271947104544
none,56,1.7910462620780356,-0.7995529173656762,2.590599179443712,3.085907019071774
none,57,1.79027779850168,-0.7989066027456142,2.5891844012472944,3.0424592071007317
none,58,1.7898723170891824,-0.7983329955835629,2.5882053126727453,3.0041942503132066
none,59,1.7899183850508291,-0.7984942770204465,2.5884126620712755,2.964328838177353
none,60,1.7889398800348943,-0.797364188017411,2.5863040680523053,2.9265710665095135
none,61,1.791413967720504,-0.8000002196619816,2.591414187382486,2.8937215165933514
none,62,1.790886473997045,-0.7992427827391222,2.590129256736167,2.855512679707592
none,63,1.7906800604553599,-0.7990418645775059,2.589721925032866,2.8239233649709115
none,64,1.790852137520472,-0.7993010586176161,2.590153196138088,2.7953829887042505
none,65,1.792403817219776,-0.8010022575318562,2.5934060747516323,2.765709409597583
none,66,1.7925905417774477,-0.8013213891287485,2.593911930906196,2.733833537660926
none,67,1.7905753178444481,-0.7995577699623956,2.590133087806844,2.704008058427666
none,68,1.7903497497453045,-0.7993352617697221,2.5896850115150265,2.6783776348344057
none,69,1.7910948832047981,-0.7998368608353744,2.5909317440401725,2.6513239185695103
none,70,1.792748871451717,-0.8016614043364239,2.5944102757881407,2.623857044525809
none,71,1.7927496533806038,-0.8016366983846955,2.594386351765299,2.594217933827422
none,72,1.791243917847811,-0.8001177449608299,2.591361662808641,2.5668289906503188
none,73,1.7903618734835358,-0.7991567039561412,2.589518577439677,2.544087159760772
none,74,1.792447401848758,-0.8013132348672882,2.593760636716046,2.522395109500918
none,75,1.791996912546075,-0.8011208042521559,2.593117716798231,2.495942358978196
none,76,1.7925596325115176,-0.8017312611635029,2.5942908936750206,2.470256654749034
none,77,1.7911269216370302,-0.8004431279953897,2.59157004963242,2.44424896766165
none,78,1.7908382349283785,-0.8002547443052779,2.5910929792336566,2.4196035363347104
none,79,1.7925190536820086,-0.8019866933335381,2.5945057470155466,2.394873152433012
none,80,1.7915816165724514,-0.8009056052008164,2.592487221773268,2.3687326214932467
none,81,1.7930604443762697,-0.802466610940163,2.595527055316433,2.346644524023455
none,82,1.7913368876699107,-0.8007950647570404,2.5921319524269513,2.319692760306978
none,83,1.791187224587614,-0.8008447332624115,2.5920319578500255,2.299785462538027
none,84,1.7908710242396584,-0.8006039970205286,2.591475021260187,2.2787948942547187
none,85,1.7916738949138324,-0.8013989282569175,2.59307282317075,2.259214713549583
none,86,1.7931585527177933,-0.8028394159499218,2.595997968667715,2.2394950306117525
none,87,1.793018230864797,-0.8027425799409833,2.59576081080578,2.2178265861025306
none,88,1.7918469389683802,-0.8015709179827276,2.593417856951108,2.197202252653044
none,89,1.7927547291102315,-0.8024121111664326,2.595166840276664,2.1787957522375896
none,90,1.7933029671662462,-0.8028869907031227,2.596189957869369,2.15983018803255
none,91,1.7926813527057672,-0.8022821717989278,2.594963524504695,2.1425094900731283
none,92,1.7923935161045708,-0.8019865326890654,2.594380048793636,2.1278526710312105
none,93,1.7931027185943145,-0.8026724658943848,2.595775184488699,2.113671082317709
none,94,1.7946876060812922,-0.8042443826254189,2.598931988706711,2.09797244067273
none,95,1.7946113269816442,-0.8040718171514539,2.598683144133098,2.0779992727769057
none,96,1.7945748571855225,-0.8040982805364341,2.5986731377219563,2.060538379155532
none,97,1.794570555272357,-0.8041032975830169,2.5986738528553737,2.042953404685254
none,98,1.7947018808198134,-0.8042664982070096,2.598968379026823,2.026082470462708
none,99,1.7961561306531684,-0.805719996029538,2.6018761266827064,2.008114218031965
none,100,1.7962343578791906,-0.8058499171888066,2.6020842750679973,1.9900126179370905
none,101,1.7971451648372818,-0.8066881573649765,2.6038333222022585,1.972868986542265
none,102,1.797100799265031,-0.8065794234222775,2.6036802226873084,1.955269058622441
none,103,1.7969912885196897,-0.8065350378600065,2.603526326379696,1.9392396857849434
none,104,1.7968038381774993,-0.8063444141677069,2.603148252345206,1.9220957725821703
none,105,1.797960203066192,-0.807410874897235,2.605371077963427,1.9063634809229795
none,106,1.7972549439511263,-0.8067529426330337,2.60400788658416,1.8899917628217915
none,107,1.7966626675223187,-0.8061729930703312,2.6028356605926497,1.8763120717202626
none,108,1.7969800197988808,-0.8063838869772039,2.6033639067760848,1.863249328175224
none,109,1.7958927396382396,-0.8052545539939907,2.60114729363223,1.8490615809831028
none,110,1.7965139435813968,-0.8059188124391751,2.602432756020572,1.8369361786588856
none,111,1.7957766575379233,-0.8052494324061514,2.6010260899440745,1.8242722512377947
none,112,1.7958987242164954,-0.8053486515997884,2.6012473758162837,1.8124589909387652
none,113,1.7961465101474634,-0.8055246105030845,2.601671120650548,1.8011006713762994
none,114,1.7959667146698715,-0.8053917831149491,2.6013584977848208,1.788422300943954
none,115,1.7951803683664989,-0.8045236360603666,2.5997040044268656,1.7751568713376775
none,116,1.7938295025167985,-0.8031849918067105,2.597014494323509,1.762759950210142
none,117,1.7931247925175509,-0.8024753499166069,2.595600142434158,1.7515286355226827
none,118,1.7930204501036755,-0.8025239040518158,2.5955443541554915,1.7407821205126368
none,119,1.792263971581611,-0.801665511444614,2.593929483026225,1.7289042448493765
none,120,1.7915200254991714,-0.8009065477519781,2.5924265732511493,1.7179147286997167
none,121,1.7921700832327605,-0.8015323676232577,2.5937024508560182,1.7073156183995821
none,122,1.7923232809702925,-0.8017071678054224,2.594030448775715,1.6952076127133051
none,123,1.7921194477959481,-0.801522817288802,2.59364226508475,1.6830575776119965
none,124,1.7923872925465039,-0.8017566843560929,2.594143976902597,1.6710071897814494
none,125,1.7922005968317853,-0.8014644840590854,2.5936650808908706,1.6582926477011184
none,126,1.7921596671732367,-0.8015589691278528,2.5937186363010896,1.6466188247471625
none,127,1.7916919720582165,-0.8010919897912612,2.5927839618494777,1.6357639861343922
none,128,1.7917431245574564,-0.8012519638329537,2.5929950883904103,1.6253585894938158
none,129,1.7903263620927856,-0.7997307914921523,2.590057153584938,1.6143154174757304
none,130,1.790027247949621,-0.799278943542779,2.5893061914924003,1.604631624001729
none,131,1.7905451682624072,-0.7997445268652925,2.5902896951276997,1.5958461631256673
none,132,1.7905559471970007,-0.7996434541804982,2.590199401377499,1.586190635897485
none,133,1.7901494432721778,-0.7993047877080162,2.589454230980194,1.576488292431513
none,134,1.7908643305619911,-0.8000171669592159,2.590881497521207,1.5671687716539022
none,135,1.7909775566743171,-0.8000959082276512,2.591073464901968,1.5568283820298037
none,136,1.7905401853712724,-0.7996778275598543,2.5902180129311265,1.5467722970416788
none,137,1.7909408962234923,-0.800081589853744,2.5910224860772364,1.5374447752899367
none,138,1.7897619888253355,-0.7988981346624331,2.5886601234877684,1.5275194376846692
none,139,1.7900765957707432,-0.7992073779261829,2.589283973696926,1.51953115112488
none,140,1.7902588490799272,-0.7993764143293313,2.5896352634092583,1.5110479697381571
none,141,1.78963026281984,-0.7988690940360772,2.588499356855917,1.5021289453742894
none,142,1.7905017506001553,-0.7998792756628449,2.590381026263,1.493384362865968
none,143,1.7903190743145265,-0.7997301112877937,2.5900491856023202,1.4829234197657333
none,144,1.7898625412077824,-0.7992229707429708,2.589085511950753,1.4730012594141333
none,145,1.7912762751604032,-0.8007635963701762,2.5920398715305795,1.4631385021090397
none,146,1.791342874216136,-0.8007166767761766,2.5920595509923126,1.4504843004374994
none,147,1.7915401602323056,-0.8008361062356607,2.592376266467966,1.4397833650184764
none,148,1.7927351561529454,-0.8019771567667816,2.594712312919727,1.4302198735494744
none,149,1.7944780786696546,-0.8037638152715227,2.5982418939411773,1.4192893814890941
none,150,1.795130363933245,-0.8044364164650022,2.599566780398247,1.4075354885349907
none,151,1.7945033133413713,-0.8037395136770894,2.5982428270184608,1.3963751429692504
none,152,1.7933586178981828,-0.802554635507194,2.595913253405377,1.386555400999914
none,153,1.7937932747219771,-0.8028425501707933,2.5966358248927706,1.3787995119340646
none,154,1.7937614281672924,-0.8028099343398917,2.5965713625071842,1.3691575408637509
none,155,1.7941641754146622,-0.803258974496717,2.5974231499113793,1.3608415252656825
none,156,1.7933539292928466,-0.8024197404998389,2.5957736697926856,1.3523413259729218
none,157,1.7945546864479627,-0.8036249039313116,2.5981795903792744,1.3450905556233517
none,158,1.7938812060524394,-0.8029311675423081,2.5968123735947475,1.336168547555886
none,159,1.793018951416742,-0.8021478130668267,2.5951667644835688,1.3281925206084328
none,160,1.7923253311065954,-0.8014728316649037,2.593798162771499,1.3209536295614521
none,161,1.792614571757037,-0.8017772026328891,2.5943917743899263,1.3142972933091837
none,162,1.7925730627630674,-0.8016983063407543,2.5942713691038217,1.3067557344085101
none,163,1.793274563569915,-0.8023532014293682,2.595627764999283,1.298767526740712
none,164,1.7940141643149563,-0.8029520189510619,2.5969661832660185,1.290039079028916
none,165,1.7936520808619811,-0.8026296309214378,2.596281711783419,1.281129999597569
none,166,1.7932791923780265,-0.8022867281802756,2.595565920558302,1.2731345888080976
none,167,1.7927052682690128,-0.8016522489293342,2.594357517198347,1.2654024702012423
none,168,1.7929576677028354,-0.8017265152412534,2.5946841829440888,1.2579465334236892
none,169,1.7937284107551235,-0.8025128608609126,2.596241271616036,1.2503293001217568
none,170,1.7924870430676698,-0.8014125654181254,2.5938996084857955,1.2418535809225026
none,171,1.7921781122630636,-0.8010652595923095,2.593243371855373,1.2348848548333284
none,172,1.7926867865506162,-0.8015378193057806,2.5942246058563967,1.227851024538709
none,173,1.792217295783485,-0.801149714127058,2.5933670099105433,1.2200282929710955
none,174,1.7919626993590632,-0.800944222828006,2.592906922187069,1.2127215449360782
none,175,1.7926339534972393,-0.8015988328905354,2.5942327863877748,1.2055154574867464
none,176,1.7925613708340287,-0.8014510655094481,2.5940124363434767,1.1974847645295104
none,177,1.7914859793822113,-0.8004259581425179,2.5919119375247295,1.1894240349874292
none,178,1.7922947286639785,-0.8013160590650581,2.5936107877290366,1.1828225628591147
none,179,1.7916017931970156,-0.8006365559100113,2.592238349107027,1.1754740302311775
none,180,1.790758482389636,-0.7998427382207594,2.590601220610395,1.1690374725644104
none,181,1.7911233992373738,-0.8002204476205744,2.5913438468579484,1.1631921021937752
none,182,1.7922021439161413,-0.8013470799865858,2.593549223902727,1.1569340776955712
none,183,1.7920553838338982,-0.8012810135491182,2.593336397383016,1.1494279993141756
none,184,1.7920965013034014,-0.8012744268458438,2.593370928149245,1.1420369816056513
none,185,1.7927249415950612,-0.801891096839433,2.594616038434494,1.1349829759057002
none,186,1.7918693533595536,-0.8011464061869372,2.593015759546491,1.1271493827276087
none,187,1.7938488720670482,-0.8031065661218185,2.596955438188867,1.1199268161601175
none,188,1.7940891388729059,-0.8034006376674669,2.597489776540373,1.1109460916113227
none,189,1.7946783732132832,-0.8040103061215355,2.5986886793348187,1.1027521543678656
none,190,1.7952140567331463,-0.8045583348567867,2.599772391589933,1.0946036264213221
none,191,1.794915986587792,-0.8043091983428934,2.5992251849306856,1.0869922640721572
none,192,1.7943993744817237,-0.8037505238303362,2.5981498983120597,1.0805266402940557
none,193,1.7945625367199127,-0.8039502050591683,2.598512741779081,1.074970457993489
none,194,1.7956694356553693,-0.8051656125959762,2.6008350482513456,1.0688305025423397
none,195,1.7954222836508906,-0.8049004458712304,2.600322729522121,1.0618961587553255
none,196,1.7948320908956854,-0.8044374242116434,2.599269515107329,1.0551354199925855
none,197,1.7956704818525584,-0.8053786053127815,2.60104908716534,1.048655644108929
none,198,1.7953228675771187,-0.8049560454711928,2.6002789130483115,1.0420615188241815
none,199,1.7963503940141763,-0.8059596636198206,2.602310057633997,1.0363361682654144
none,200,1.7958034103966265,-0.8054502771191094,2.6012536875157357,1.0296601556356773
none,201,1.7958418593107988,-0.8054665801849765,2.6013084394957753,1.0232967582279895
none,202,1.795364507328222,-0.8049942857036996,2.600358793031922,1.0169154391650845
none,203,1.7944145215748535,-0.8040904588102802,2.5985049803851337,1.0112532794549438
none,204,1.7943488138490893,-0.8041045109840325,2.598453324833122,1.0065045442556686
none,205,1.7950585184140584,-0.804726546670611,2.5997850650846694,1.001222527458016
none,206,1.794409942840284,-0.8041128917183843,2.5985228345586684,0.9949898080216886
none,207,1.7944457284049555,-0.8041115929682797,2.598557321373235,0.9894313355284645
none,208,1.7944399773431765,-0.8040797949828307,2.598519772326007,0.9841819880918912
none,209,1.7935768643526409,-0.8031984385706757,2.5967753029233167,0.9792038840440581
none,210,1.793221357316919,-0.8027745105012254,2.5959958678181443,0.9751525127680364
none,211,1.792968165624317,-0.8025234549534627,2.59549162057778,0.9708454132934583
none,212,1.7929062188827662,-0.8025189306187616,2.5954251495015277,0.9660945038673905
none,213,1.793040463738831,-0.8026602254722714,2.5957006892111023,0.9612991254012047
none,214,1.7927138550465955,-0.8023801268616042,2.5950939819081995,0.9561276240742004
none,215,1.7938842384106446,-0.8035849357373462,2.597469174147991,0.9511701968470874
none,216,1.7940166050340978,-0.8037777695797578,2.5977943746138554,0.9452979808132604
none,217,1.7942967787386734,-0.8040097967954905,2.598306575534164,0.939483545927189
none,218,1.794417699796796,-0.8041566901879841,2.59857438998478,0.9333024902184532
none,219,1.794134314803364,-0.8039483868905031,2.5980827016938672,0.9270077340947716
white,0,0.0,0.0,0.0,44.721363838906775
white,1,1.634251378159813,0.0,1.634251378159813,33.36917706152329
white,2,1.6161148018979148,-0.3358088909612423,1.951923692859157,22.319306708520585
white,3,1.6878689697553058,-0.6270652307498911,2.314934200505197,16.223730166681925
white,4,1.7416405995494744,-0.7162281127288492,2.457868712278324,12.475070727589818
white,5,1.7504114693370818,-0.7486861016428573,2.4990975709799392,10.246840410065525
white,6,1.7688783027477541,-0.7732088593300411,2.542087162077795,8.823475276363828
white,7,1.7729892629224866,-0.7829563606397236,2.5559456235622102,7.7641599610838075
white,8,1.7689704460303624,-0.7791114189215194,2.5480818649518815,6.928806247129826
white,9,1.771617434463911,-0.781302194981113,2.5529196294450243,6.3047536545878655
white,10,1.7771091340760092,-0.7844931125188136,2.561602246594823,5.771180080784197
white,11,1.7801505902017702,-0.7909586901659196,2.57110928036769,5.40641033426107
white,12,1.7807472248559286,-0.7916825085172823,2.5724297333732107,5.07103332609775
white,13,1.7794341228482153,-0.7905051213414417,2.569939244189657,4.753384469691255
white,14,1.7773924244964705,-0.7888883647069366,2.566280789203407,4.525866318364621
white,15,1.7768739835364675,-0.7884265801821407,2.5653005637186084,4.310978039902636
white,16,1.7733666300607418,-0.7837898256256689,2.557156455686411,4.134765497684667
white,17,1.776160185079449,-0.7859436256604769,2.562103810739926,3.976505838469534
white,18,1.778938833904,-0.7878716453018076,2.5668104792058077,3.796488026510537
white,19,1.780138784306472,-0.7894255587623807,2.5695643430688526,3.648456965582517
white,20,1.7837304960815143,-0.7931022125654642,2.5768327086469784,3.518549247199789
white,21,1.7850694636751825,-0.7949577769136674,2.58002724058885,3.398892317589516
