step,step_size,momentum,progress_signal,true_curvature,observed_curvature,plant_prediction,funnel_lower,funnel_upper,static_prediction,gamma_p_estimate,gamma_r_estimate,true_edge_utilization,predicted_edge_utilization,upper_edge_utilization
0,0.1,0.85,0.8,8.517986560182385,8.54116921488559,8.486195815693739,8.432195815693738,9.801106879761091,8.48219581569374,0.06447088485933855,0.08,0.23611111111111113,0.2357276615470483,0.27225296888225253
1,0.10168067226890756,0.85,0.8005619119030755,8.542729986745263,8.55929414293878,8.592782149730665,8.54116921488559,9.058256590816562,8.54116921488559,0.04499737121483517,0.08,0.24058738883801786,0.24269996267913407,0.2558471165940252
2,0.10336134453781513,0.85,0.8022444901624335,8.572118077964896,8.56066173233022,8.595393036067675,8.55929414293878,8.937259732642383,8.55929414293878,0.031158692765928343,0.08,0.24527446040375056,0.2467864947330355,0.2566019951248864
3,0.10504201680672269,0.85,0.8050382801705562,8.601162576454596,8.595463858333611,8.585745672766866,8.56066173233022,8.86941993289597,8.56066173233022,0.03410936435014994,0.08,0.2501201586707778,0.2505177892380621,0.25879493268253884
4,0.10672268907563026,0.85,0.8089275832888412,8.619943879392777,8.621692891128845,8.623055864004897,8.497662317222547,8.96925033277028,8.595463858333611,0.033774502485740085,0.08,0.2549831109266419,0.2556321416266624,0.26589514291825994
5,0.10840336134453782,0.85,0.81389054506012,8.624421649776233,8.645880639650063,8.649181639366098,8.52793976910866,8.967204369551544,8.621692891128845,0.03309235059115397,0.08,0.25956413642429227,0.26044454516298476,0.27002085986744845
6,0.11008403361344538,0.85,0.8198992780114548,8.639325753458465,8.657330603012335,8.673013034007452,8.556175936720756,8.969286813467647,8.645880639650063,0.030291673906333364,0.08,0.263725311886248,0.26521118287931283,0.2742709086284458
7,0.11176470588235295,0.85,0.8269200183571679,8.664115367458702,8.69169196289202,8.68237939455503,8.571674319173907,8.961000460459923,8.657330603012335,0.03175795826084287,0.08,0.2682143616269785,0.26955099427540125,0.2782009946874813
8,0.1134453781512605,0.85,0.8349133157215728,8.679573307333404,8.673960999916947,8.718207105124128,8.61008409814447,8.981975383186052,8.69169196289202,0.025520657977477497,0.08,0.2730288456131944,0.2747334171782813,0.2830454427474596
9,0.11512605042016807,0.85,0.8438342548153307,8.70725389598694,8.667519416219342,8.695496205323769,8.581177871908714,8.961646664809864,8.673960999916947,0.021946508017346694,0.08,0.2775680539460029,0.27807725960069013,0.28658860716128653
10,0.11680672268907563,0.85,0.8536327078198077,8.741090669104599,8.76884001620903,8.686253673285378,8.576881747008045,8.942964684923059,8.667519416219342,0.03160275678862663,0.08,0.2825182753366444,0.2818368955617805,0.29016622110277895
11,0.1184873949579832,0.85,0.8642536160612543,8.778811451873494,8.792397305471114,8.796152813041104,8.658893217825327,9.06602808471476,8.76884001620903,0.031197611978008518,0.08,0.28769696179826065,0.2895092312415489,0.29839168065937943
12,0.12016806722689076,0.85,0.8756372993920473,8.801577561539089,8.824651801626164,8.819715098171018,8.684595965884347,9.082200110044486,8.792397305471114,0.031692324800147345,0.08,0.293036890200259,0.29440225467751063,0.3031640092755279
13,0.12184873949579833,0.85,0.8877197915405423,8.839322083165888,8.846389258368278,8.852785705591186,8.718995920836331,9.108597293549533,8.824651801626164,0.03109349688643296,0.08,0.2979058698466779,0.29963910534797433,0.3082975274427363
14,0.12352941176470589,0.85,0.9004331995451689,8.8645955845071,8.858083780808203,8.874386875254777,8.742878836375377,9.124103285324493,8.846389258368278,0.029660708110201005,0.08,0.30331007148118244,0.30451327513129134,0.3130819754768209
15,0.12521008403361344,0.85,0.9137060852530625,8.8754165685483,8.89748869581908,8.885184950301408,8.756718817612237,9.129277142803785,8.858083780808203,0.030679995860524365,0.08,0.30831576612781464,0.309031876189288,0.3175215439490579
16,0.126890756302521,0.85,0.9274638667395488,8.875321030176783,8.868658377951443,8.925943283411435,8.798269191420045,9.164797526636288,8.89748869581908,0.026190538103233206,0.08,0.3128356446897276,0.31461658165152345,0.3230355804206535
17,0.1285714285714286,0.85,0.9416292373928564,8.90365920965988,8.91913707098291,8.893320154372498,8.756862374553227,9.141976708765927,8.868658377951443,0.028110481278508254,0.08,0.3169757510777423,0.31761857694187495,0.32649916817021174
18,0.13025210084033614,0.85,0.9561226003091694,8.951570577306677,8.96945040527381,8.946014137438858,8.807803368838321,9.191697205918707,8.91913707098291,0.029768772079241022,0.08,0.3221445325623906,0.3236769820968775,0.3325660753775443
19,0.1319327731092437,0.85,0.970862515557105,8.975256470629095,8.988362766671099,8.998351790219708,8.858579004382852,9.241278864878382,8.96945040527381,0.02909472564227156,0.08,0.3280570916519954,0.3297715291933927,0.33867431881090243
20,0.13361344537815126,0.85,0.9857661577983822,8.987718719244413,9.013457612724808,9.01704336257968,8.877953667033768,9.257394128668858,8.988362766671099,0.028863509623255526,0.08,0.33311526116480533,0.3346661752217948,0.3435867568763652
21,0.13529411764705884,0.85,1.000749781693255,9.01386200923387,9.001734344534103,9.042342763679182,8.903510814341105,9.280265264246642,9.013457612724808,0.026356878744399348,0.08,0.3377737427167018,0.339826607131734,0.3487681390158052
22,0.1369747899159664,0.85,1.0157291924755465,9.034633705417999,9.033529201520832,9.028505795697328,8.893933004947336,9.262438280196527,9.001734344534103,0.02665416732745121,0.08,0.34296440417953333,0.3435215790613129,0.3524223715387567
23,0.13865546218487396,0.85,1.0306202190530602,9.058777652480646,9.099996031532308,9.060999525290526,8.927873320730999,9.291040883846346,9.033529201520832,0.028869800397482874,0.08,0.3479725866932703,0.34898807695446704,0.3578482133134097
24,0.1403361344537815,0.85,1.045339186974967,9.07942897594138,9.080015915318205,9.130174765207943,8.996485609539407,9.356404799886784,9.099996031532308,0.026130580697145293,0.08,0.35313162184039865,0.35591484262131806,0.3647338005558106
25,0.14201680672268907,0.85,1.0598033886085039,9.109440069569445,9.10994896777876,9.107709193287347,8.973920756376193,9.334921696856412,9.080015915318205,0.02624827187177256,0.08,0.35817541945240267,0.35929104894154096,0.36825438066497046
26,0.14369747899159663,0.85,1.0739315478830072,9.140174303253602,9.131506171806183,9.138137815019267,9.004816718697171,9.362834977730385,9.10994896777876,0.025912672807438916,0.08,0.36361210361726776,0.36475760186001266,0.37372660625394394
27,0.1453781512605042,0.85,1.0876442769898278,9.163627453003748,9.148108563966465,9.159689942086704,9.027336832585018,9.381909929860088,9.131506171806183,0.025347770611730373,0.08,0.3691060117793822,0.3698941083055555,0.3788679780265628
28,0.14705882352941177,0.85,1.1008645224718783,9.176593564273942,9.180487087269908,9.176013025356674,9.044902134605723,9.39578412823762,9.148108563966465,0.02555826568444212,0.08,0.3743311868057087,0.374837133388753,0.38381471112081783
29,0.14873949579831933,0.85,1.1135179981961791,9.219584584431784,9.209809069893558,9.208946676112214,9.078243567769588,9.42628885885243,9.180487087269908,0.02559742647513443,0.08,0.3791449721933911,0.38048169039959423,0.38946151447639593
30,0.15042016806722688,0.85,1.1255336027764828,9.244396144841,9.238699453913192,9.238619833535921,9.10852846025366,9.453546080130067,9.209809069893558,0.0256009180802013,0.08,0.3852254063056231,0.38602076335269137,0.3950011083901218
31,0.15210084033613447,0.85,1.136843819100426,9.270700094880945,9.244847239398496,9.267803699395966,9.138381754133714,9.480321182579369,9.238699453913192,0.02462820608313482,0.08,0.39057789500845497,0.3915668696523506,0.400545782924105
32,0.15378151260504203,0.85,1.1473850937162209,9.319208173889443,9.327110171865478,9.273105275943255,9.14571208855553,9.482996737819049,9.244847239398496,0.026840241960235992,0.08,0.3960173009718051,0.3961200433000971,0.40508599510291454
33,0.15546218487394958,0.85,1.1570981939470653,9.343066582993584,9.348415674701302,9.358166967362768,9.220638798434027,9.573949659832323,9.327110171865478,0.026453979111739283,0.08,0.4024401288911174,0.4041225231003997,0.4134408699974276
34,0.15714285714285714,0.85,1.165928540726605,9.37045109486254,9.366641621061795,9.379259123963465,9.242713510476348,9.592822974049488,9.348415674701302,0.0259704514165175,0.08,0.40783227147987866,0.4094121046174528,0.4187343361688268
35,0.1588235294117647,0.85,1.173826515285202,9.407685803269475,9.424839164125016,9.39712642554843,9.26170866604334,9.608464353015375,9.366641621061795,0.02699824463747584,0.08,0.413402254185112,0.4145791070094895,0.4239028391036194
36,0.16050420168067225,0.85,1.180747737963711,9.458981029483354,9.489651399564437,9.456717280409707,9.320675418313057,9.665820364378147,9.424839164125016,0.02818071294565164,0.08,0.419436972087878,0.4216230160033272,0.43094577254813865
37,0.16218487394957984,0.85,1.186653317588062,9.489221017886647,9.480225543246243,9.523092136073391,9.386256862958973,9.729950140252397,9.489651399564437,0.02669029646827132,0.08,0.4261399016550624,0.4290281938053605,0.438347426953481
38,0.1638655462184874,0.85,1.1915100700034007,9.523778469869807,9.526088647690997,9.512027300259565,9.377600215847279,9.716629134501474,9.480225543246243,0.02716386146987879,0.08,0.4319323292455407,0.4329704303339438,0.4422835390354313
39,0.16554621848739495,0.85,1.195290704539802,9.548435946887583,9.537267391699357,9.55855735880535,9.424232529498529,9.76089148529251,9.526088647690997,0.02646915345291786,0.08,0.43795153094405975,0.4395508402625243,0.4488551873488852
40,0.16722689075630254,0.85,1.1979739773617943,9.591738502898762,9.621290921146096,9.568976748738748,9.436180482713384,9.769031540098368,9.521671277932885,0.02812349428428536,0.08,0.4435431263843672,0.4444972859474816,0.45379021393080654
41,0.1689075630252101,0.85,1.199544810839999,9.622607747421732,9.610944373623816,9.6550263127775,9.5166625763314,9.857101013579577,9.559322926948639,0.02677222418491516,0.08,0.45003254880547416,0.453001934843202,0.46248303074918184
42,0.17058823529411765,0.85,1.1999943782741247,9.652807135533918,9.634894771054457,9.643070892139608,9.506747093312644,9.843182108956038,9.592761564621721,0.02652922944511701,0.08,0.4559732429333827,0.4569429017517135,0.46642529601262267
43,0.1722689075630252,0.85,1.199320153491246,9.6831136385942,9.69071763314062,9.666711810584578,9.531128555246807,9.86484940711922,9.624624072887078,0.02722109528707095,0.08,0.4619107055986118,0.4625760787044441,0.47205745295505136
44,0.17394957983193277,0.85,1.1975259250406722,9.715668248956266,9.737890645703375,9.72331560045489,9.58738248183649,9.919470419968732,9.659811162458452,0.02762852687575805,0.08,0.4678815413606441,0.4698240731312237,0.4793021421413463
45,0.17563025210084032,0.85,1.194621774905635,9.75092831504027,9.759588466532286,9.770896285517722,9.634986558902769,9.965060350719693,9.696915371302739,0.027321876441685225,0.08,0.47399035108119963,0.4766847160768449,0.4861572393324966
46,0.17731092436974788,0.85,1.1906240218514261,9.782480697263196,9.806162679981282,9.792118548945812,9.657115444235199,9.984285242321135,9.733198711171156,0.027691412944898738,0.08,0.4802628091674829,0.48229155318103784,0.49175634596866463
47,0.17899159663865546,0.85,1.1855551297283133,9.801008093669111,9.795543449543707,9.838992376647532,9.704120722187719,10.029156604068241,9.770472517231358,0.02658194443515356,0.08,0.4863838441916575,0.48919359855880584,0.4986485426392473
48,0.18067226890756302,0.85,1.17944358124449,9.819948249835795,9.834821172962005,9.826895353284748,9.693932556253667,10.0150536933251,9.804116042406825,0.026778383487492168,0.08,0.4918806582957187,0.49317985549865095,0.5026229094455874
49,0.1823529411764706,0.85,1.1723237179183492,9.862977181412985,9.853693364738746,9.866214107051906,9.733641344175485,10.052364948042376,9.836487013122959,0.026477128034111237,0.08,0.4974156793217478,0.49975921130491685,0.509188420570774
50,0.18403361344537816,0.85,1.1642355471094028,9.91547313655169,9.910122409830183,9.884518978381426,9.752944600455749,10.068662644875555,9.86593350169057,0.027075260808105923,0.08,0.5041998138957619,0.5053010402113755,0.5147145469719296
51,0.18571428571428572,0.85,1.155224517212168,9.931218897594249,9.926157216507198,9.94140041492562,9.809804710050706,10.123539284921492,9.901916411887848,0.026729445530661422,0.08,0.5115125030760792,0.5128500214048931,0.5222460742221404
52,0.18739495798319328,0.85,1.1453412622762265,9.967608699057276,9.96338964278859,9.95677155339123,9.827022065664233,10.13615868290796,9.936381724506854,0.026875274874521578,0.08,0.5169612077879359,0.5182913296933342,0.5276291751373657
53,0.18907563025210083,0.85,1.1346413174874748,10.026564903145331,10.04196186285937,9.993883440080054,9.865437040882137,10.170525633569396,9.971946445273755,0.02790443920009756,0.08,0.5235088602446047,0.5248888361386583,0.5341662622673001
54,0.1907563025210084,0.85,1.1231848071093036,10.078789431009065,10.103735368984703,10.073303705019825,9.942892419346148,10.249509516041963,10.01215910556014,0.02853738113200671,0.08,0.53128623553081,0.5337628247057656,0.5430995938705708
55,0.19243697478991595,0.85,1.1110361066372045,10.089669025854482,10.082869370934509,10.13544142981123,10.005082010893565,10.309689540744799,10.054580465342399,0.02747474935552179,0.08,0.5387588187911008,0.5417871352536815,0.5511015184011575
56,0.19411764705882353,0.85,1.0982634810651999,10.087678575081835,10.07604343383551,10.113043884803098,9.980396348637422,10.289584182175412,10.092246060788781,0.02674777979207772,0.08,0.544050780805879,0.5453111898668337,0.5548305196271056
57,0.1957983193277311,0.85,1.0849387012967133,10.131438109787547,10.116260310060637,10.105063135305697,9.974001476041947,10.279661628986482,10.12311750435117,0.026961673451189216,0.08,0.548652919699829,0.5495984384981856,0.5590945750592554
58,0.19747899159663865,0.85,1.071136640855323,10.153789674475902,10.159660089491377,10.145139946392982,10.014649416770597,10.317816043542358,10.156084930330522,0.027231415073415255,0.08,0.5557628281512776,0.5565144461723507,0.5659866410439901
59,0.19915966386554623,0.85,1.0569348551615185,10.192831648434709,10.18641800752033,10.18844192123784,10.058480260704856,10.359217756671244,10.19149719364139,0.027194840933698967,0.08,0.5617292607027985,0.5636462967631578,0.573093979535734
60,0.2008403361344538,0.85,1.0424131457395627,10.218949470410134,10.233511141055182,10.214766267205915,10.085669243237334,10.38366675395732,10.226025877121863,0.027524449782252894,0.08,0.5686477040093127,0.5698714140668099,0.5792942003258169
61,0.20252100840336135,0.85,1.0276531118032275,10.250772461758995,10.245637299878945,10.261796727524585,10.133193441275704,10.428849598090087,10.262007230124674,0.02724787082293375,0.08,0.5748755421029044,0.5772859503579423,0.5866836491922761
62,0.2042016806722689,0.85,1.0127376917400994,10.282903159034777,10.284273346181484,10.273232245680996,10.145735685521553,10.438483062113663,10.293877432536789,0.027431880315081477,0.08,0.5814513791333884,0.5827253584735018,0.5920988291535061
63,0.20588235294117646,0.85,0.9977506970709066,10.31389577363475,10.349917934907198,10.311643523887822,10.184787817246177,10.475125739428632,10.326539028204042,0.028053244326366432,0.08,0.5880745270689823,0.5897181753857414,0.5990676484967354
64,0.20756302521008402,0.85,0.9827763415026085,10.337751016112719,10.328035284669683,10.377487999733544,10.250848491393976,10.539237945422283,10.364533511495782,0.02727083954103067,0.08,0.5946620579103135,0.5983285564738995,0.6076544753779888
65,0.20924369747899157,0.85,0.9678987677215524,10.38181575113824,10.369113139544824,10.354430696656179,10.228282492750909,10.51558700934912,10.394456485416192,0.027497334465817643,0.08,0.6008636795079522,0.6018331567384193,0.6112000852772947
66,0.21092436974789916,0.85,0.9532015745857029,10.429144068934766,10.42564850842295,10.395323642054551,10.269501574591226,10.555103801168869,10.425298950074481,0.02795370300600482,0.08,0.6082716511521237,0.6090630798682755,0.618424615801444
67,0.21260504201680672,0.85,0.938767347372708,10.456315628877734,10.46952093793827,10.451890532043143,10.32617817043453,10.61033940841738,10.458112785022957,0.02821270209992093,0.08,0.615913503604224,0.6172568404778046,0.6266143488164325
68,0.2142857142857143,0.85,0.9246771937233946,10.496763906646946,10.514709882376968,10.49560858014338,10.370191826915022,10.652773808466366,10.49123036736,0.028486800707505387,0.08,0.6223997398141509,0.6247386059609155,0.634093679075379
69,0.21596638655462186,0.85,0.91101028788828,10.519828570444748,10.513232851405787,10.540661650890529,10.415521998318896,10.69659356006901,10.525527947803507,0.02810205378056218,0.08,0.6297078253987547,0.6323412801771396,0.6416957387809841
70,0.21764705882352942,0.85,0.8978434258380337,10.549137858120872,10.551562801421037,10.538464095645212,10.414186194312892,10.693215620896744,10.556125075002308,0.028281802952045555,0.08,0.6360027076902871,0.6371293652595961,0.6464852581261104
71,0.21932773109243697,0.85,0.8852505937377775,10.566217597458765,10.573610702805894,10.576599284276309,10.452657371293315,10.730225860226076,10.587097664874783,0.028241647047529482,0.08,0.642699575389717,0.6443726454706155,0.6537322477868828
72,0.22100840336134453,0.85,0.8733025522100171,10.602599504362583,10.605596625052113,10.598274205251116,10.474980131135084,10.750700007963601,10.61555660507532,0.028338072346666857,0.08,0.6486730224396954,0.6506410168022977,0.6599986232713415
73,0.2226890756302521,0.85,0.8620664387222814,10.645505361251418,10.652890799578358,10.63002592616026,10.507240911838212,10.781310989659952,10.646533051312511,0.02863346130031851,0.08,0.6558564119178535,0.6575529576172895,0.666911160658237
74,0.22436974789915964,0.85,0.851605390333701,10.667480556171085,10.66928442418985,10.677275209565622,10.554809944821365,10.827481627666245,10.678468878796611,0.028532076824859576,0.08,0.6634803761564259,0.6654604297278293,0.6748220342172939
75,0.22605042016806723,0.85,0.8419781889203578,10.684334627054836,10.66577126362855,10.693307810560983,10.571478427889765,10.842499549938792,10.708008253834826,0.028188562329746085,0.08,0.669830128293656,0.671451867656607,0.6808198830377066
76,0.22773109243697479,0.85,0.8332389308729263,10.713383659255275,10.698025153539177,10.689259071167031,10.568240125785373,10.83750176436641,10.735319862046744,0.028296213791960022,0.08,0.675876443494832,0.6761879571163085,0.68556558780189
77,0.22941176470588234,0.85,0.825436723122616,10.732196383834749,10.73059078286806,10.72138188752839,10.600768874152912,10.86874260630129,10.764573933082993,0.02840768225771254,0.08,0.6827156253446989,0.6832253163621032,0.6926159504015528
78,0.2310924369747899,0.85,0.8186154072034779,10.759738865326636,10.768039781085632,10.753845749247164,10.633609361938703,10.900392758856572,10.791929429581241,0.028577254630528064,0.08,0.6889248378978888,0.6903145614012535,0.6997217573962552
79,0.23277310924369748,0.85,0.8128133129016083,10.783148320601814,10.748384782828948,10.791267754095504,10.671333218613183,10.937070249445988,10.820690280603579,0.028070924339763496,0.08,0.6957160750923151,0.6977547077227952,0.7071821799945235
80,0.23445378151260504,0.85,0.8080630428755172,10.803294973422247,10.789335264043919,10.771067859367266,10.651953078813408,10.916195684060135,10.843310829041485,0.02828439429706784,0.08,0.7022638612156643,0.7014771084882043,0.7109287105165213
