momentum,amplitude_contraction_floor,covariance_contraction_floor,minimum_horizon
0.01,0.1,0.010000000000000002,1
0.015,0.1224744871391589,0.015,1
0.02,0.1414213562373095,0.02,1
0.025,0.15811388300841897,0.025,1
0.03,0.17320508075688773,0.03,1
0.035,0.18708286933869708,0.035,1
0.04,0.2,0.04000000000000001,1
0.045000000000000005,0.21213203435596428,0.04500000000000001,1
0.05,0.22360679774997896,0.049999999999999996,1
0.055,0.2345207879911715,0.05500000000000001,1
0.060000000000000005,0.24494897427831783,0.06000000000000001,1
0.065,0.25495097567963926,0.065,2
0.06999999999999999,0.264575131106459,0.06999999999999998,2
0.075,0.27386127875258304,0.07499999999999998,2
0.08,0.282842712474619,0.08,2
0.08499999999999999,0.291547594742265,0.08499999999999998,2
0.09,0.3,0.09,2
0.095,0.3082207001484488,0.095,2
0.09999999999999999,0.31622776601683794,0.1,2
0.105,0.324037034920393,0.10499999999999998,2
0.11,0.33166247903553997,0.10999999999999999,2
0.11499999999999999,0.3391164991562634,0.115,2
0.12,0.34641016151377546,0.12,2
0.125,0.3535533905932738,0.12500000000000003,2
0.13,0.36055512754639896,0.13000000000000003,2
0.135,0.3674234614174767,0.135,2
0.14,0.37416573867739417,0.14,2
0.14500000000000002,0.38078865529319544,0.14500000000000002,2
0.15000000000000002,0.3872983346207417,0.15000000000000002,2
0.155,0.39370039370059057,0.15500000000000003,2
0.16,0.4,0.16000000000000003,2
0.165,0.406201920231798,0.165,2
0.17,0.41231056256176607,0.17,2
0.17500000000000002,0.4183300132670378,0.17500000000000002,2
0.18000000000000002,0.42426406871192857,0.18000000000000005,2
0.18500000000000003,0.4301162633521314,0.18500000000000003,2
0.19,0.43588989435406733,0.18999999999999997,2
0.195,0.44158804331639234,0.195,2
0.2,0.4472135954999579,0.19999999999999998,2
0.20500000000000002,0.45276925690687087,0.20500000000000004,2
0.21000000000000002,0.45825756949558405,0.21000000000000005,2
0.21500000000000002,0.46368092477478523,0.21500000000000005,2
0.22,0.469041575982343,0.22000000000000003,2
0.225,0.4743416490252569,0.22499999999999998,2
0.23,0.47958315233127197,0.23,2
0.23500000000000001,0.48476798574163293,0.23500000000000004,2
0.24000000000000002,0.48989794855663565,0.24000000000000005,2
0.24500000000000002,0.4949747468305833,0.24500000000000002,2
0.25,0.5,0.25,2
0.255,0.5049752469181039,0.255,3
0.26,0.5099019513592785,0.26,3
0.265,0.51478150704935,0.26499999999999996,3
0.27,0.5196152422706632,0.2700000000000001,3
0.275,0.5244044240850758,0.275,3
0.28,0.5291502622129182,0.28,3
0.28500000000000003,0.5338539126015656,0.285,3
0.29000000000000004,0.5385164807134505,0.2900000000000001,3
0.29500000000000004,0.5431390245600108,0.29500000000000004,3
0.3,0.5477225575051661,0.29999999999999993,3
0.305,0.552268050859363,0.305,3
0.31,0.5567764362830022,0.31000000000000005,3
0.315,0.5612486080160912,0.315,3
0.32,0.565685424949238,0.32,3
0.325,0.570087712549569,0.32500000000000007,3
0.33,0.5744562646538028,0.32999999999999996,3
0.335,0.5787918451395113,0.3350000000000001,3
0.34,0.5830951894845301,0.3400000000000001,3
0.34500000000000003,0.5873670062235365,0.34500000000000003,3
0.35000000000000003,0.5916079783099616,0.35,3
0.35500000000000004,0.5958187643906493,0.35500000000000004,3
0.36000000000000004,0.6000000000000001,0.3600000000000001,3
0.365,0.6041522986797286,0.36500000000000005,3
0.37,0.6082762530298219,0.36999999999999994,3
0.375,0.6123724356957945,0.37499999999999994,3
0.38,0.6164414002968976,0.38,3
0.385,0.6204836822995429,0.38500000000000006,3
0.39,0.6244997998398398,0.39,3
0.395,0.6284902544988268,0.3950000000000001,3
0.4,0.6324555320336759,0.4,4
0.405,0.6363961030678927,0.40499999999999997,4
0.41000000000000003,0.6403124237432849,0.41000000000000003,4
0.41500000000000004,0.6442049363362563,0.41500000000000004,4
0.42000000000000004,0.6480740698407861,0.4200000000000001,4
0.42500000000000004,0.6519202405202649,0.425,4
0.43,0.6557438524302001,0.43,4
0.435,0.6595452979136459,0.43499999999999994,4
0.44,0.6633249580710799,0.43999999999999995,4
0.445,0.6670832032063166,0.44499999999999995,4
0.45,0.6708203932499369,0.45,4
0.455,0.6745368781616021,0.45500000000000007,4
0.46,0.6782329983125268,0.46,4
0.465,0.6819090848492928,0.465,4
0.47000000000000003,0.6855654600401044,0.47000000000000003,4
0.47500000000000003,0.6892024376045112,0.4750000000000001,4
0.48000000000000004,0.6928203230275509,0.48,4
0.48500000000000004,0.696419413859206,0.4850000000000001,4
0.49,0.7,0.48999999999999994,4
0.495,0.7035623639735145,0.49500000000000005,4
0.5,0.7071067811865476,0.5000000000000001,5
0.505,0.7106335201775947,0.5049999999999999,5
0.51,0.714142842854285,0.51,5
0.515,0.7176350047203662,0.515,5
0.52,0.7211102550927979,0.5200000000000001,5
0.525,0.724568837309472,0.525,5
