mode,target_variance_ratio,feasible,selected_step_size,selected_momentum,predicted_variance_ratio,relative_target_error,spectral_radius,lyapunov_condition,regime,momentum_floor_binding
fixed_mu_0.9,0.95,False,0.30953109183489325,0.9,1.3808033240997226,0.43080332409972283,0.9486832980505138,10.888074548173558,underdamped,False
adaptive_mu,0.95,True,0.025320565519103666,0.0,0.9499999999999997,0.0,0.9746794344808963,79.50330908053505,overdamped,False
fixed_mu_0.9,0.9,False,0.3355272282652759,0.9,1.3308033240997226,0.43080332409972266,0.9486832980505138,9.97242976713018,underdamped,False
adaptive_mu,0.9,True,0.05131670194948623,0.0,0.8999999999999999,0.0,0.9486832980505138,39.50702271882786,overdamped,False
fixed_mu_0.9,0.8,False,0.3897833353158735,0.9,1.2308033240997232,0.43080332409972316,0.9486832980505139,8.456594495191194,underdamped,True
adaptive_mu,0.8,True,0.10557280900008403,0.0,0.8000000000000002,1.734723475976807e-16,0.894427190999916,19.515928669676455,overdamped,False
fixed_mu_0.9,0.7,False,0.4475504997817137,0.9,1.1308033240997235,0.43080332409972333,0.9486832980505139,7.248085381856267,underdamped,True
adaptive_mu,0.7,True,0.16333997346592433,0.0,0.7000000000000002,8.673617379884035e-17,0.8366600265340757,12.860739849599652,overdamped,False
fixed_mu_0.9,0.5,False,0.5771037451292418,0.9,0.9308033240997232,0.43080332409972316,0.948683298050514,5.419578746645742,underdamped,True
adaptive_mu,0.5,True,0.2928932188134524,0.0,0.5000000000000001,0.0,0.7071067811865476,7.563017928136332,overdamped,False
